[0x00004fe8] | UI                   | INFO  | 2023-05-17 09:46:23,223 | Gallery pointer is changed, refreshing gallery browser
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:23,312 | Close splash screen
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:23,314 | Launching main loop
[0x00004fe8] | SyManager.Signals    | INFO  | 2023-05-17 09:46:24,215 | Fusion templates changed
[0x00004fe8] | Fusion               | INFO  | 2023-05-17 09:46:24,758 | Started script server: 32648

[0x00004fe8] | SyManager.ActionExecutor | INFO  | 2023-05-17 09:48:41,800 | Database transaction is ongoing, user initiated action Sync Asset Map is postponed
[0x00004fe8] | SyManager.ActionExecutor | INFO  | 2023-05-17 09:48:41,800 | Database transaction completed, enqueueing 1 postponed actions
[0x00004fe8] | SyManager.ProjectManager | INFO  | 2023-05-17 09:48:41,842 | Loading project (gazprom_screens_06_R_Home_Painter_Lookdev_v002) from project library (homepc127.0.0.1) took 291 ms
[0x00004fe8] | UI.ActionManager     | WARN  | 2023-05-17 09:48:42,159 | Action [fairlightBusStructure] is not a global action
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:48:42,390 | 00.02.31.644(002): WASAPI: switching to AUTO because exclusive mode not allowed
[0x00004fe8] | UI                   | WARN  | 2023-05-17 09:48:43,528 | Failed to find value '0' in combo-box
[0x00004fe8] | UI                   | WARN  | 2023-05-17 09:48:43,531 | Failed to find value '0' in combo-box
